,level_0,Unnamed: 0,index,Unnamed: 0.1,Text,Label,processed
0,0,0,0,0,daily review october total gmt issuance erc bep gmt price,1,daily review october total gmt issuance erc bep gmt price
1,1,1,1,1,cme sees record open interest bitcoin futures ahead etf debut,1,cme see record open interest bitcoin future ahead etf debut
2,2,2,2,2,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
3,3,3,3,3,mpumalanga police launch manhunt duty cop another man shot dead near liquor ou,0,mpumalanga police launch manhunt duty cop another man shoot dead near liquor ou
4,4,4,4,4,date wrx burn crypto news today bitcoin news crypto keyur via,0,date wrx burn crypto news today bitcoin news crypto keyur via
5,5,5,5,5,mexico plans make bitcoin legal tenderdespite excitement throughout latin america took,0,mexico plan make bitcoin legal tenderdespite excitement throughout latin america take
6,6,6,6,6,infamous buyer oct k puts yesterday sold inventory,1,infamous buyer oct k put yesterday sell inventory
7,7,7,7,7,attention america also approving allowing bitcoin etf along security exchange commision unit,0,attention america also approve allow bitcoin etf along security exchange commision unit
8,8,8,8,8,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section,0,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section
9,9,9,9,9,guys game time weeks revolution ask serve hot fresh sit back,0,guy game time week revolution ask serve hot fresh sit back
10,10,10,10,10,till govs regulate heavily,1,till govs regulate heavily
11,11,11,11,11,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section b,0,lovecoin giveaway raffle contestretweet post amp post lovecoin address comment section b
12,12,12,12,12,takara pokemon go style geo tagging game people could drop bitcoin nfts places world,0,takara pokemon go style geo tagging game people could drop bitcoin nft place world
13,13,13,13,13,hd highest weekly close historyare,0,hd high weekly close historyare
14,14,14,14,14,according glassnode number addresses current holdings bitcoins dropped lowest leve,0,accord glassnode number address current holding bitcoins drop low leve
15,15,15,15,15,btc eth bot analysis days ago max btc reached,0,btc eth bot analysis day ago max btc reach
16,16,16,16,16,keep simple keep fast,0,keep simple keep fast
17,17,17,17,17,keep simple keep fast,0,keep simple keep fast
18,18,18,18,18,bitcoin fluctuated greatly past hours beijing time close rose cl,1,bitcoin fluctuate greatly past hour beijing time close rose cl
19,19,19,19,19,buy rumor buy news buy dip light fuse btc,1,buy rumor buy news buy dip light fuse btc
20,20,20,20,20,presale oct tommorrow stake bitcoin episod featuring mr grandpadoge elon musk cryptomessiahtg http,0,presale oct tommorrow stake bitcoin episod feature mr grandpadoge elon musk cryptomessiahtg http
21,21,21,21,21,investing today save stress financial crisis tomorrow live kind life w,0,invest today save stress financial crisis tomorrow live kind life w
22,22,22,22,22,breaking news intro bitrise exchange,0,break news intro bitrise exchange
23,23,23,23,23,done hopefully chosen one giveaway thank oppo,0,do hopefully choose one giveaway thank oppo
24,24,24,24,24,buy rumor buy news buy dip light fuse btc,1,buy rumor buy news buy dip light fuse btc
25,25,25,25,25,gt moon,0,gt moon
26,26,26,26,26,meme contest gfn launches october th enter create meme comment,0,meme contest gfn launch october th enter create meme comment
27,27,27,27,27,congrats highest ever weekly close last week,0,congrat highest ever weekly close last week
28,28,28,28,28,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sys,0,vrx next x btc eth bnb shib spell dot theta doge movr mina taboo sy
29,29,29,29,29,olympic doge airdrop task millon olympicdoge referral millon olympicdoge airdrop,0,olympic doge airdrop task millon olympicdoge referral millon olympicdoge airdrop
30,30,30,30,30,life fiat money vs bitcoin,0,life fiat money vs bitcoin
