,Tweet,Date
0,"Thanks for the question!

My favourite one is definitely $DFI from @defichain.

What I ❤️ most about the project is… https://t.co/GQjvizbvlV",2021-11-09 11:09:14+00:00
1,"RT @BITCOINALLCAPS: Everybody~! #Bitcoin 
https://t.co/Aoe5mI8yh6",2021-11-09 11:09:14+00:00
2,"RT @ph8gordon: $SPWN is looking beautiful! Once we start trading above this trend line our next small resistance testing will be @ .02

Aft…",2021-11-09 11:09:13+00:00
3,"RT @MrPlanN: How to buy Real Estate with #Bitcoin &amp; #Crypto 

✅ Canada
✅ USA

https://t.co/kbc3Yc2XRG https://t.co/GWsIU0ivJ4",2021-11-09 11:09:13+00:00
4,#linkedin #twitter #facebook #instagram #doge #socialmedia #pinterest #shoppingaddict #dogecoin #deal #gift #gifts… https://t.co/xfmYcLt1jZ,2021-11-09 11:09:13+00:00
5,"Trending on #LunarCrush:

""Is Bitcoin Headed For A Breakout As It Trades Near All-Time Highs?"" via @Forbes

Top coi… https://t.co/A0sBg9LBAD",2021-11-09 11:09:13+00:00
6,"To implement the #digital #ruble, quite a few federal laws and codes in #Russia need to be amended, pointed out Ana… https://t.co/U7YPlsWTl4",2021-11-09 11:09:12+00:00
7,"RT @rif_os: Stablecoins secured by Bitcoin, made to serve the people. Follow us to check out how we're making this vision a reality!",2021-11-09 11:09:12+00:00
8,"🇮🇳 बिटकॉइन(BTC) आर्बिट्रेज संभावना ‼
  ✅BestAsk Exchange:Wazirx
  ⬇Price (BUY): 1BTC = 5,343,007 INR
  ✅BestBid Exc… https://t.co/Cs5aGEkv2x",2021-11-09 11:09:12+00:00
9,#linkedin #twitter #facebook #instagram #tiktok #socialmedia #pinterest #shoppingaddict #dogecoin #deal #gift… https://t.co/C5fGx1aFRa,2021-11-09 11:09:12+00:00
10,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #shoppingaddict #dogecoin #deal #gift… https://t.co/LpYwNi2Q3B,2021-11-09 11:09:12+00:00
11,Bitcoin price surges to record high of more than $68000 - The Guardian https://t.co/pmaUOGceFa 🙋 Bet with $BTC via… https://t.co/muqGKqvIVC,2021-11-09 11:09:12+00:00
12,"RT @AirdropDet: 🔍 New #Airdrop: Shiba Santa

💲 Reward: Up to 1800 SHIBA SANTA + 2M SHIBA SANTA referral pool

🔴 Start the airdrop bot: http…",2021-11-09 11:09:12+00:00
13,Analysts expect parabolic Bitcoin price move after the 'last' resistance at $67K falls #Bitcoin  https://t.co/c8AMCTG2zu,2021-11-09 11:09:11+00:00
14,"Stock Markets Today: Bitcoin record, Fed warning and chair, French economy - Bloomberg https://t.co/LsqsYJWYTc 🙋 Be… https://t.co/sjwPM3xQ5D",2021-11-09 11:09:11+00:00
15,RT @haklajamedevLTC: #MWEB is the biggest innovation in finance since the invention of bitcoin. let that sink in. #ltc,2021-11-09 11:09:10+00:00
16,"RT @PiPrimePi: For everyone holding 1.5 Bitcoin. 

You are now in the 6 figure club (USD)

You just got another 0

Keep stacking and holdin…",2021-11-09 11:09:10+00:00
17,RT @BitcoinMagazine: JUST IN: Mastercard launched #Bitcoin and crypto-linked cards across Asia Pacific https://t.co/lt5AlpkGzd,2021-11-09 11:09:09+00:00
18,"RT @RyanDelongpre: Before #bitcoin I used to care about Politics as I thought it was the only way to change things.

Little did I know that…",2021-11-09 11:09:09+00:00
19,"It is important to be well rounded by the people @elonmusk @sundarpichai @satyanadella,I would encourage people to… https://t.co/QBiOe71OKk",2021-11-09 11:09:08+00:00
20,RT @DocumentingBTC: #Bitcoin Lightning growth is going vertical. https://t.co/QuAx7Magp8,2021-11-09 11:09:08+00:00
21,Why gaming will move to blockchains? #Crypto #Cryptos #NFT #NFTCommunity #NFTGaming #NFTs #blockchain… https://t.co/ImGcXgvp8W,2021-11-09 11:09:08+00:00
22,@tomskiweb Nothing can beat #Bitcoin 🚀 https://t.co/Rgx4sCgvOO,2021-11-09 11:09:08+00:00
23,"RT @TheMoonCarl: Sell your house and buy #Bitcoin.

Not financial advice.",2021-11-09 11:09:08+00:00
24,RT @scorpoioking: How all HoLdrs feel right now #Bitcoin #Crypto https://t.co/iEKFr5joXL,2021-11-09 11:09:07+00:00
25,Square Unveils Plans to Help Bitcoin Become the Native Currency for the Internet - Bitcoin News… https://t.co/MbTLn69iMg,2021-11-09 11:09:06+00:00
26,"RT @Investingcom: ⚠️BREAKING:

*BITCOIN TOPS $68000 FOR FIRST TIME EVER TO HIT NEW RECORD HIGH 

$BTC #BTC https://t.co/unJXGp6eC4",2021-11-09 11:09:06+00:00
27,RT @BTC_Archive: El Salvador started building this pet hospital with #Bitcoin profits 🙌 https://t.co/Kr8EiGTPzI,2021-11-09 11:09:06+00:00
28,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:09:05+00:00
29,"RT @KlausLovgreen: There goes the Swiss Franc

#Bitcoin https://t.co/UVwlRtJuZG",2021-11-09 11:09:05+00:00
30,"RT @danheld: Jeffries, a $450B asset manager, has sold a portion of its gold allocation to purchase #Bitcoin.

Eventually every asset manag…",2021-11-09 11:09:05+00:00
31,"RT @thecryptobasic: Coinbase Users Can Borrow $1 Million In Cash Using Bitcoin As Collateral Along With Some Other New Features.

https://t…",2021-11-09 11:09:05+00:00
32,"RT @PremiumTimesng: Bitcoin, Ethereum hit all-time high https://t.co/FskH6bJguz",2021-11-09 11:09:04+00:00
33,"RT @oloye__: Bitcoin pumps 10%.

Big cap alts pump 20%.

Mid caps pump 30-40%.

Low caps pump 50% and above.

Same happens on the way down.…",2021-11-09 11:09:04+00:00
34,Bitcoin price surges to record high of more than $68000 - The Guardian https://t.co/cHDPQgcTum 🙋 Bet with $BTC via… https://t.co/W6dQtOiGeh,2021-11-09 11:09:04+00:00
35,"RT @thecryptobasic: Mayor Candidate Eric Adams Who Said He Will Make New York City Center Of Bitcoins Wins NYC Mayor Title.

https://t.co/V…",2021-11-09 11:09:02+00:00
36,"Cryptocurrency prices today: Bitcoin inches closer to $70,000, Ether at all-time high - Business News… https://t.co/wymFD5wEJs",2021-11-09 11:09:02+00:00
37,"This platform became real to me.
I had the opportunity to learn about it,
Honestly, I never thought this was possib… https://t.co/dW4oHPPQOn",2021-11-09 11:09:02+00:00
38,"RT @Forbes: Bitcoin, Ether Hit Record Highs As Crypto Market Rallies https://t.co/2yBGXVI7Pc https://t.co/bMMUhh9Xbh",2021-11-09 11:09:02+00:00
39,"RT @NavalismHQ: ""Asymmetric opportunities:

Invest in startups
Start a company
Create a book, podcast, video
Create a (software) product
Go…",2021-11-09 11:09:02+00:00
40,"#Mastercard #Bitcoin 

Why Mastercard is bringing crypto onto its network https://t.co/UXnuKGWWoP",2021-11-09 11:09:01+00:00
41,"@dprice2413 @notmaxlol @hodlland @AIngelbg @Trainwreckstv oh and riddle me this too, why use ETH when it's so energ… https://t.co/rwk3Y9Jk5n",2021-11-09 11:09:01+00:00
42,RT @kailybuemi: #bitcoin changed my life. I don’t mean financially; it literally changed the way I see the world. It encourages me to ask q…,2021-11-09 11:09:00+00:00
43,RT @BTC_Archive: #Bitcoin market cap is now bigger than the Swiss Franc! https://t.co/7zHo8Gw97U,2021-11-09 11:09:00+00:00
44,"RT @tailopez: I’m blessing 2 people with $1,000 in Bitcoin in the next 24 hours! (Just like I did the other week)

$500 in Bitcoin will go…",2021-11-09 11:08:59+00:00
45,RT @scorpoioking: How all HoLdrs feel right now #Bitcoin #Crypto https://t.co/iEKFr5joXL,2021-11-09 11:08:59+00:00
46,"RT @AirdropDet: 🔍 New #Airdrop: Shiba Santa

💲 Reward: Up to 1800 SHIBA SANTA + 2M SHIBA SANTA referral pool

🔴 Start the airdrop bot: http…",2021-11-09 11:08:58+00:00
47,"RT @LovecoinProject: ❤️10,000,000 LOVECOIN GIVEAWAY RAFFLE CONTEST ❤️

RETWEET THIS POST &amp; POST YOUR LOVECOIN ADDRESS IN THE COMMENT SECTIO…",2021-11-09 11:08:57+00:00
48,"RT @MrPlanN: How to buy Real Estate with #Bitcoin &amp; #Crypto 

✅ Canada
✅ USA

https://t.co/kbc3Yc2XRG https://t.co/GWsIU0ivJ4",2021-11-09 11:08:56+00:00
